trial,from_frame0,to_frame0,max_joint,max_joint_step_m,com_step_m,limb_scale_step_fraction,reason
S06A08T01,2,3,ear_left,0.039565150929699526,0.008339422811168985,0.03876747628708652,joint step >0.2m and/or scale change >3.0%; review only
S06A08T01,5,6,wrist_right,0.08603064526006605,0.006962052668631738,0.036652599337553514,joint step >0.2m and/or scale change >3.0%; review only
S06A08T01,9,10,wrist_right,0.1397600276219742,0.004539150654548278,0.03330287238723785,joint step >0.2m and/or scale change >3.0%; review only
S06A08T01,10,11,foot_right,0.05834563260109518,0.004315292944554321,0.03362442927917916,joint step >0.2m and/or scale change >3.0%; review only
S06A08T01,41,42,wrist_right,0.08177465545176392,0.03835199987319544,0.06186154803268054,joint step >0.2m and/or scale change >3.0%; review only
S06A08T01,89,90,ankle_left,0.2591631441109023,0.03912863183738529,0.006440307496714559,joint step >0.2m and/or scale change >3.0%; review only
S06A08T01,94,95,elbow_right,0.46883108699926224,0.054376521067878575,0.0032249205613381023,joint step >0.2m and/or scale change >3.0%; review only
S06A08T01,95,96,elbow_right,0.21246698396442887,0.05681481807599496,0.01465268134786862,joint step >0.2m and/or scale change >3.0%; review only
S06A08T01,96,97,wrist_left,0.4578004517019405,0.04628401688699524,0.003148631335546563,joint step >0.2m and/or scale change >3.0%; review only
S06A08T01,116,117,wrist_right,0.5373714778870984,0.05467969139209443,0.05340473945628906,joint step >0.2m and/or scale change >3.0%; review only
S06A08T01,118,119,wrist_right,0.5688817938690639,0.029978904653353067,0.013205435934487524,joint step >0.2m and/or scale change >3.0%; review only
S06A08T01,219,220,wrist_right,0.3008660207018259,0.04343993059381011,0.019949089326883232,joint step >0.2m and/or scale change >3.0%; review only
S06A08T01,220,221,handtip_right,0.3062806094362549,0.018577839104262705,0.004426995700417339,joint step >0.2m and/or scale change >3.0%; review only
S06A08T01,221,222,thumb_right,0.22044449058893306,0.04059842959134963,0.005039998964771491,joint step >0.2m and/or scale change >3.0%; review only
S06A08T01,247,248,ear_right,0.1279413006207558,0.04678333996912263,0.03804283662550948,joint step >0.2m and/or scale change >3.0%; review only
