trial,activity,description,bytes,sha256,source_member,status
S50A11T05,A11,Frontfall,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,S50_FallSamples/S50A11T05.csv,empty
S50A11T04,A11,Frontfall,129141,0e0dc9406ba1c8f786dedcf9ea5da11e3c8a4d8bf472cc835a33d7a25e50a4c2,S50_FallSamples/S50A11T04.csv,numeric
S50A13T01,A13,Rightfall,48943,0191eda24f15a5c1a6ff7dd2ddfc846485f31500cda698685c79f6b0819dc1cb,S50_FallSamples/S50A13T01.csv,numeric
S50A13T03,A13,Rightfall,38762,9375c868dc3c1976da0612060002a73e6e17624dcc9433318eeeb5d25e51d0c5,S50_FallSamples/S50A13T03.csv,numeric
S50A13T02,A13,Rightfall,84427,1f99575ca5f3948b63da6cc3af24cbc37ff790ff1bffea5f6e551548700e9496,S50_FallSamples/S50A13T02.csv,numeric
S50A11T03,A11,Frontfall,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,S50_FallSamples/S50A11T03.csv,empty
S50A11T02,A11,Frontfall,105798,6cf1747a8300f7d439a3e4cdf35893eaad3634e7469138aa02280083ab9aa586,S50_FallSamples/S50A11T02.csv,numeric
S50A13T05,A13,Rightfall,30536,2132aff4fad953b6e46472693080324a5b5de72b1d533f54c486d821b58b8b8b,S50_FallSamples/S50A13T05.csv,numeric
S50A11T01,A11,Frontfall,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,S50_FallSamples/S50A11T01.csv,empty
S50A13T04,A13,Rightfall,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,S50_FallSamples/S50A13T04.csv,empty
S50A14T01,A14,Rotatefall (turn and fall),135453,8a47d4aac249adbb3e501f517f67ba048aa07fe847e35035f13b9599fc99d45e,S50_FallSamples/S50A14T01.csv,numeric
S50A14T03,A14,Rotatefall (turn and fall),110052,561430531a476f52a934a4d5adeb9cae232cb5e9f2f2f078d03b74bcb97d57ad,S50_FallSamples/S50A14T03.csv,numeric
S50A14T02,A14,Rotatefall (turn and fall),156651,a3575134662ec53ee7c3c5f2a0b6f3a5e90f56d3d81c45e9e1c1f635b3590971,S50_FallSamples/S50A14T02.csv,numeric
S50A14T05,A14,Rotatefall (turn and fall),140705,46d89d35f486d0360fa270a54d128ca1b6c7787cf99ac64eaba544e0d0fc0160,S50_FallSamples/S50A14T05.csv,numeric
S50A14T04,A14,Rotatefall (turn and fall),28806,98718a80f6877da22bbbaedaa70932d4c800b95bf785318391d4829caca5fc1f,S50_FallSamples/S50A14T04.csv,numeric
S50A12T02,A12,Leftfall,121128,05064a056567f14f590158ed16f5c52f6aa10be6ad874898a2a067ecf7316130,S50_FallSamples/S50A12T02.csv,numeric
S50A12T03,A12,Leftfall,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,S50_FallSamples/S50A12T03.csv,empty
S50A10T04,A10,Backfall,61324,0dc812b9189acb9276d77e8e9d24d8672bb4c328cc8d8d86f386f42cf8780a55,S50_FallSamples/S50A10T04.csv,numeric
S50A12T01,A12,Leftfall,45450,c282dcd7a4d10ae38d6bb32143fa818878228bec9e47889caadf2c9f741501c9,S50_FallSamples/S50A12T01.csv,numeric
S50A10T05,A10,Backfall,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,S50_FallSamples/S50A10T05.csv,empty
S50A10T01,A10,Backfall,58011,65d6ba813449048e4b3f07908612cb513b385e135d06a3c182d62463558c6312,S50_FallSamples/S50A10T01.csv,numeric
S50A12T04,A12,Leftfall,18509,cdf7d74d690aabe1b8ffbb65bae46feabe56cffc009e6c5cfa42ab12ccd1bfa9,S50_FallSamples/S50A12T04.csv,numeric
S50A12T05,A12,Leftfall,80686,cf19fd6e43461b459110627f0c85405769d4588dd44c58bb5a52b406f07ed4bb,S50_FallSamples/S50A12T05.csv,numeric
S50A10T02,A10,Backfall,32384,b05f15bfcedad66395f7d08e9429232ac2a69b4be66504bd9a537424c8502064,S50_FallSamples/S50A10T02.csv,numeric
S50A10T03,A10,Backfall,91993,0cb2c725e01d2b3d5222100b4c1b57afb5eadaad7585f620fb4f1a7e81c71ed0,S50_FallSamples/S50A10T03.csv,numeric
