trial,from_frame0,to_frame0,max_joint,max_joint_step_m,com_step_m,limb_scale_step_fraction,reason
S50A11T04,2,3,foot_left,0.24803905905455903,0.0720244547010195,0.005729893949717573,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,3,4,handtip_right,0.2132608472715163,0.06865426822405966,0.018657890416705798,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,5,6,foot_right,0.5503223347412881,0.05791714082192299,0.03387956377914358,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,6,7,ear_left,0.12442800138130385,0.06114737972031676,0.044024446820911105,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,7,8,thumb_right,0.22933105846943813,0.07661637644744144,0.022378767611861167,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,9,10,foot_left,0.34220032856805677,0.05509256238663435,0.09992514704449325,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,12,13,foot_right,0.22986245060820967,0.03545021005312678,0.02679557181996122,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,13,14,foot_right,0.2746851160404449,0.04000012243908815,0.0049291053741106665,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,16,17,foot_right,0.26005082423406617,0.025117771722350545,0.008829020427431689,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,17,18,foot_right,0.32369386178423126,0.025240227466502375,0.015873599347953057,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,24,25,foot_left,0.13827225565098156,0.022115250548513384,0.03188952149638749,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,26,27,foot_left,0.37011353380772183,0.13765738321525975,0.22278255134658495,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,27,28,foot_right,0.29136049127928104,0.09116689236849193,0.1784744045949528,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,28,29,foot_left,0.10660316149861988,0.026338606266330843,0.07227746094815447,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,29,30,foot_left,0.1479176156154283,0.032116644409992914,0.106978784318142,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,30,31,foot_right,0.22269112176910985,0.011870727241268031,0.014132687526854669,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,31,32,foot_right,0.1842918099768281,0.028144646275649582,0.07624410495276389,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,34,35,foot_right,0.23287601327536517,0.05263782934396563,0.09636418001706254,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,45,46,foot_left,0.14969755383597613,0.03609746110320798,0.08111502668587159,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,49,50,foot_left,0.10578307362256555,0.014889344894032238,0.03515710853022135,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,57,58,wrist_left,0.11278345793537871,0.010565430375177485,0.03642142374300359,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,62,63,foot_right,0.283859167262182,0.022919494341889748,0.02444713305156823,joint step >0.2m and/or scale change >3.0%; review only
S50A11T04,63,64,foot_right,0.24615906377351213,0.018670206283031773,0.033210693030784645,joint step >0.2m and/or scale change >3.0%; review only
S50A13T01,0,1,wrist_left,0.2118218525321359,0.004053854023175444,0.0014488261298049691,joint step >0.2m and/or scale change >3.0%; review only
S50A13T01,3,4,foot_left,0.26232377696792886,0.048887499374226526,0.16856926699625913,joint step >0.2m and/or scale change >3.0%; review only
S50A13T01,4,5,foot_left,0.17395868272022935,0.010761279160050185,0.050300382902475675,joint step >0.2m and/or scale change >3.0%; review only
S50A13T01,5,6,foot_left,0.24879332610583638,0.03448187404952687,0.07816014522890616,joint step >0.2m and/or scale change >3.0%; review only
S50A13T01,6,7,foot_left,0.180727666031314,0.04310405365625411,0.07098356380137785,joint step >0.2m and/or scale change >3.0%; review only
S50A13T01,14,15,foot_right,0.7820169973008365,0.2109776081509448,0.3142792705071539,joint step >0.2m and/or scale change >3.0%; review only
S50A13T01,16,17,foot_right,0.2988532874485366,0.03156708863327996,0.01370085294957938,joint step >0.2m and/or scale change >3.0%; review only
S50A13T03,5,6,foot_left,0.2383018044579778,0.06300841642763405,0.1316209013194082,joint step >0.2m and/or scale change >3.0%; review only
S50A13T03,6,7,foot_left,0.2072102429719886,0.0406843565162289,0.07705140729955223,joint step >0.2m and/or scale change >3.0%; review only
S50A13T03,7,8,foot_left,0.22298994209234532,0.04938023358220958,0.09579791236314358,joint step >0.2m and/or scale change >3.0%; review only
S50A13T03,8,9,foot_right,0.1953108011790308,0.04255386780160639,0.05198596012328193,joint step >0.2m and/or scale change >3.0%; review only
S50A13T03,9,10,foot_left,0.2399970429985851,0.027445478097867584,0.11626204173738548,joint step >0.2m and/or scale change >3.0%; review only
S50A13T03,17,18,foot_left,0.13012069799091852,0.008008370223477631,0.05413996353530413,joint step >0.2m and/or scale change >3.0%; review only
S50A13T03,21,22,foot_left,0.2832471004823683,0.013737617966225536,0.03616960228053916,joint step >0.2m and/or scale change >3.0%; review only
S50A13T02,43,44,handtip_right,0.207962831270676,0.011209844630223242,0.00832191997380066,joint step >0.2m and/or scale change >3.0%; review only
S50A13T02,48,49,foot_right,0.3238031349720205,0.02011048030621026,0.007448197489374461,joint step >0.2m and/or scale change >3.0%; review only
S50A11T02,0,1,foot_right,0.3494494994823644,0.015822873073341938,0.004090014394090586,joint step >0.2m and/or scale change >3.0%; review only
S50A11T02,1,2,foot_left,0.31819204588850536,0.02030344938747229,0.0009430757276565347,joint step >0.2m and/or scale change >3.0%; review only
S50A11T02,2,3,handtip_right,0.8655045104616839,0.09118012432141251,0.033345129734046,joint step >0.2m and/or scale change >3.0%; review only
S50A11T02,3,4,elbow_right,0.24824974358567536,0.03397419728211119,0.021321447615804495,joint step >0.2m and/or scale change >3.0%; review only
S50A11T02,5,6,hand_left,0.33397899544699483,0.006101130150038887,0.0003413849866093473,joint step >0.2m and/or scale change >3.0%; review only
S50A11T02,28,29,foot_right,0.4162093439604846,0.030700455865773597,0.010450242008450657,joint step >0.2m and/or scale change >3.0%; review only
S50A11T02,29,30,foot_right,0.23953588487983327,0.0195043695380419,0.005577079276185496,joint step >0.2m and/or scale change >3.0%; review only
S50A11T02,40,41,foot_right,0.43119515844083967,0.05103549992621939,0.002834424250964182,joint step >0.2m and/or scale change >3.0%; review only
S50A11T02,48,49,foot_right,0.42938260332902345,0.03363725319247151,0.006367855995535004,joint step >0.2m and/or scale change >3.0%; review only
S50A11T02,56,57,wrist_left,0.2148940627269371,0.019427695151945097,0.009266385804691638,joint step >0.2m and/or scale change >3.0%; review only
S50A14T01,3,4,foot_right,0.2225471455238541,0.013804014224913917,5.26144439675907e-05,joint step >0.2m and/or scale change >3.0%; review only
S50A14T01,26,27,hand_right,0.5584887989997487,0.030826614823558234,0.0033668258160885383,joint step >0.2m and/or scale change >3.0%; review only
S50A14T01,33,34,wrist_right,0.2968856002758841,0.014801278506106064,0.012527587175639352,joint step >0.2m and/or scale change >3.0%; review only
S50A14T03,18,19,wrist_left,0.23450729074483492,0.00931612345462319,0.01676609960131496,joint step >0.2m and/or scale change >3.0%; review only
S50A14T03,23,24,wrist_left,0.2179107447560977,0.014094628289900319,0.005949073793841468,joint step >0.2m and/or scale change >3.0%; review only
S50A14T03,29,30,wrist_left,0.25604102766264963,0.00713052145067829,0.0016996991477057789,joint step >0.2m and/or scale change >3.0%; review only
S50A14T03,30,31,wrist_left,0.11549692184959653,0.027080882566472057,0.042944769415127426,joint step >0.2m and/or scale change >3.0%; review only
S50A14T03,35,36,wrist_right,0.24372420379158133,0.022006491168184393,0.020407069795875074,joint step >0.2m and/or scale change >3.0%; review only
S50A14T03,36,37,handtip_right,0.3572456483370613,0.011426734016244344,0.012932849220223927,joint step >0.2m and/or scale change >3.0%; review only
S50A14T03,37,38,thumb_right,0.26759275311537395,0.011321577852268493,0.012275904280819304,joint step >0.2m and/or scale change >3.0%; review only
S50A14T03,54,55,foot_left,0.08810678369375524,0.036309523620842006,0.047978961097804834,joint step >0.2m and/or scale change >3.0%; review only
S50A14T03,59,60,foot_right,0.2247635621839797,0.019169479381799928,0.01725507081511598,joint step >0.2m and/or scale change >3.0%; review only
S50A14T03,62,63,foot_right,0.10611114267707518,0.015227163150718521,0.031004835680810878,joint step >0.2m and/or scale change >3.0%; review only
S50A14T03,63,64,foot_right,0.05951361234223208,0.0082159572217938,0.03572741557573897,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,1,2,ankle_right,0.17288356390428505,0.04981472822165213,0.04191829654063942,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,12,13,ankle_right,0.234847991216657,0.04407256975284198,0.03337581457878792,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,19,20,foot_right,0.22422889419052855,0.06111478834664157,0.1209950408757793,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,21,22,foot_right,0.11498771500774842,0.02465380009821237,0.0554589365532037,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,24,25,foot_right,0.07449626116686675,0.03571446213963373,0.03138193402617626,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,26,27,foot_right,0.11988986930383089,0.03684221817484091,0.035533871162894214,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,33,34,elbow_right,0.2573082185657329,0.012302514970712164,0.00762461443513821,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,34,35,hand_right,0.22124869259544874,0.00867603811904984,0.003431287340648041,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,35,36,elbow_right,0.22745095238511454,0.012365908302466786,0.009028480330739662,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,42,43,thumb_right,0.4893849709265847,0.022180333954804645,0.020947187428388234,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,43,44,foot_right,0.30880234227776937,0.029625232850401795,0.014919919733418129,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,52,53,foot_right,0.03711525671812515,0.012598951424313722,0.031081429217699765,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,53,54,thumb_right,0.47480539226009616,0.01734616450022594,0.0054880102802282735,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,54,55,foot_right,0.3462367450583801,0.034023218718078604,0.012018008961798774,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,55,56,elbow_right,0.2788003522351811,0.01998660666816659,0.007938081328103695,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,56,57,elbow_right,0.2312490194367227,0.018835712601138383,0.006890617678661991,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,57,58,elbow_right,0.13219371298754257,0.04118512641244443,0.03846172902570903,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,60,61,wrist_right,0.39467368934891883,0.02275263022949465,0.015488122791917747,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,61,62,elbow_right,0.2579255375947216,0.016335135588864586,0.024884307120791916,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,71,72,ankle_right,0.06477666015557741,0.012339190045617057,0.03258938572580119,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,76,77,wrist_right,0.4451105886141525,0.01799341765109815,0.004155566851933833,joint step >0.2m and/or scale change >3.0%; review only
S50A14T02,88,89,wrist_right,0.0928234536786582,0.019933303097535986,0.0460346196239299,joint step >0.2m and/or scale change >3.0%; review only
S50A14T05,4,5,wrist_left,0.09359315945064561,0.021376559563947774,0.031776125498361556,joint step >0.2m and/or scale change >3.0%; review only
S50A14T05,18,19,foot_right,0.37590530536424543,0.03321999138006891,0.00039442976367053996,joint step >0.2m and/or scale change >3.0%; review only
S50A14T05,32,33,foot_right,0.2862849047744019,0.015302928585722325,0.0037618397135671658,joint step >0.2m and/or scale change >3.0%; review only
S50A14T05,36,37,foot_right,0.17624954129245582,0.016726188168253775,0.03169353913498094,joint step >0.2m and/or scale change >3.0%; review only
S50A14T05,49,50,foot_right,0.23762876012789425,0.018304931498607097,0.014761532319058333,joint step >0.2m and/or scale change >3.0%; review only
S50A14T05,53,54,foot_left,0.18311793720036232,0.046476291296516495,0.10443451809213974,joint step >0.2m and/or scale change >3.0%; review only
S50A14T05,55,56,foot_right,0.2523378497034022,0.015538472552204126,0.015529072596966167,joint step >0.2m and/or scale change >3.0%; review only
S50A14T05,56,57,foot_right,0.19801150498488057,0.025442860618604034,0.03219671559667186,joint step >0.2m and/or scale change >3.0%; review only
S50A14T05,68,69,foot_right,0.31920180021751887,0.02066525016755925,0.015573745431963468,joint step >0.2m and/or scale change >3.0%; review only
S50A14T05,70,71,foot_left,0.20981438829612317,0.05547893376506383,0.12573542529580994,joint step >0.2m and/or scale change >3.0%; review only
S50A14T05,71,72,foot_right,0.2505342798721327,0.024744067478129194,0.04449624605612249,joint step >0.2m and/or scale change >3.0%; review only
S50A14T05,77,78,thumb_right,0.44033037585597967,0.02155132422782418,0.05523561476167431,joint step >0.2m and/or scale change >3.0%; review only
S50A14T04,9,10,handtip_right,0.45566618032646833,0.011597258340540957,0.012730602694749339,joint step >0.2m and/or scale change >3.0%; review only
S50A14T04,11,12,foot_left,0.053805839540365365,0.011105372600028736,0.03171815444795648,joint step >0.2m and/or scale change >3.0%; review only
S50A12T02,0,1,foot_right,0.6040603675064049,0.09668735067233497,0.2126152591900288,joint step >0.2m and/or scale change >3.0%; review only
S50A12T02,16,17,thumb_right,0.05399491421884806,0.02478312261795113,0.03181180101860304,joint step >0.2m and/or scale change >3.0%; review only
S50A12T02,20,21,foot_right,0.5944383157818146,0.08192978242413339,0.13305248701761246,joint step >0.2m and/or scale change >3.0%; review only
S50A12T02,30,31,thumb_left,0.12904749190188283,0.015176277438936283,0.05508924707684739,joint step >0.2m and/or scale change >3.0%; review only
S50A12T02,35,36,thumb_left,0.2882539546984885,0.012138611160300338,0.01950016136291551,joint step >0.2m and/or scale change >3.0%; review only
S50A12T02,44,45,handtip_left,0.10782690057320522,0.007362993288639717,0.04669376350090212,joint step >0.2m and/or scale change >3.0%; review only
S50A12T02,53,54,foot_right,0.5420673201234756,0.0374147672551271,0.04633527564674504,joint step >0.2m and/or scale change >3.0%; review only
S50A12T02,57,58,foot_right,0.20617851498434003,0.02026648627201311,0.051936912885667645,joint step >0.2m and/or scale change >3.0%; review only
S50A12T02,60,61,foot_right,0.3654378908737902,0.03306775527435982,0.017328888736640836,joint step >0.2m and/or scale change >3.0%; review only
S50A12T02,64,65,foot_right,0.31626668776753103,0.027990626696638123,0.03690628037876976,joint step >0.2m and/or scale change >3.0%; review only
S50A12T02,65,66,foot_right,0.20059970749208023,0.01873374264869528,0.005749889067388521,joint step >0.2m and/or scale change >3.0%; review only
S50A12T02,69,70,foot_right,0.3734539456401371,0.029722471828875042,0.04220003533892619,joint step >0.2m and/or scale change >3.0%; review only
S50A10T04,3,4,handtip_left,0.3135842080180486,0.027592992530674182,0.0018097778094595199,joint step >0.2m and/or scale change >3.0%; review only
S50A10T04,4,5,handtip_left,0.4859833847473186,0.010566774583721683,0.0023599817218103504,joint step >0.2m and/or scale change >3.0%; review only
S50A12T01,0,1,thumb_left,0.2364454884649426,0.013918387195720916,0.002124024089679882,joint step >0.2m and/or scale change >3.0%; review only
S50A12T01,2,3,hand_left,0.1803478555616562,0.01329805859264407,0.04073162874992138,joint step >0.2m and/or scale change >3.0%; review only
S50A12T01,5,6,foot_right,0.21891857699747957,0.08520550853660319,0.15841220124868968,joint step >0.2m and/or scale change >3.0%; review only
S50A12T01,6,7,foot_right,0.14574170818304352,0.04004715909248323,0.060823271257261585,joint step >0.2m and/or scale change >3.0%; review only
S50A12T01,7,8,foot_right,0.14215243110488687,0.04305863828980009,0.037871837419776684,joint step >0.2m and/or scale change >3.0%; review only
S50A12T01,10,11,ankle_left,0.20616700454591771,0.11276901152382528,0.0042199036681321534,joint step >0.2m and/or scale change >3.0%; review only
